Stock lable_2017,Stock code_pre 2017,Full name_2017,New advice in 2017,Species Common Name,Book Number 2015,Section number 2016,Alphabet,Placeholder,Superheaders
,mut-347d,,,,,,,,
,mut-comb,,,,,,,,
,mut-west,,,,,,,,
fle.27.3a4,fle-nsea,"Flounder (Platichthys flesus) in Subarea 4 and Division 3.a (North Sea, Skagerrak and Kattegat)",x,Flounder,6,6.3.13,flounder,,
rji.27.67,rji-celt,"Sandy ray (Leucoraja circularis) in subareas 6?7 (West of Scotland, southern Celtic Seas, English Channel)",,Sandy ray,5,5.3.17,elasmobranch,Placeholder,
rjm.27.67bj,rjm-67bj,"Spotted ray (Raja montagui) in Subarea 6 and divisions 7.b and 7.j (West of Scotland, west and southwest of Ireland)",,Spotted ray,5,5.3.22,elasmobranch,Placeholder,
rjm.27.7ae-h,rjm-7aeh,Spotted ray (Raja montagui) in divisions 7.a and 7.e?h (southern Celtic Seas and western English Channel),,Spotted ray,5,5.3.21,elasmobranch,Placeholder,
rjn.27.67,rjn-678abd,"Cuckoo ray (Leucoraja naevus) in subareas 6?7 (West of Scotland, southern Celtic Seas, and western English Channel)",,Cuckoo ray,5,5.3.13,elasmobranch,Placeholder,
rju.27.7bj,rju-7bj,Undulate ray (Raja undulata) in divisions 7.b and 7.j (west and southwest of Ireland),,Undulate ray,5,5.3.26,elasmobranch,Placeholder,
rju.27.7de,rju-ech,Undulate ray (Raja undulata) in divisions 7.d and 7.e (English Channel),,Undulate ray,5,5.3.27,elasmobranch,Placeholder,
sho.27.67,sho-celt,"Black-mouth dogfish (Galeus melastomus) in subareas 6 and 7 (West of Scotland, southern Celtic Seas, and English Channel)",x,Black-mouth dogfish,5,5.3.8,elasmobranch,,add elasmobranch superheader above
syc.27.67a-ce-j,syc-celt,"Lesser-spotted dogfish (Scyliorhinus canicula) in Subarea 6 and divisions 7.a?c and 7.e?j  (West of Scotland, Irish Sea, southern Celtic Seas)",x,Lesser-spotted dogfish,5,5.3.15,elasmobranch,,
syt.27.67,syt-celt,"Greater-spotted dogfish (Skyliorhinus stellaris) in subareas 6 and 7 (West of Scotland, southern Celtic Sea, and the English Channel)",x,Greater-spotted dogfish,5,5.3.14,elasmobranch,,
,nep-2022,,,,,,,,
had.27.7b?k,had-7b-k,Haddock (Melanogrammus aeglefinus) in divisions 7.b?k (southern Celtic Seas and English Channel),x,Haddock,5,5.3.30,haddock,,
rjm.27.9a,rjm-pore,Spotted ray (Raja montagui) in Division 9.a (Atlantic Iberian waters),,Spotted ray,7,7.3.14,elasmobranch,Placeholder,
rjn.27.8c,rjn-8c,Cuckoo ray (Leucoraja naevus) in Division 8.c (Cantabrian Sea),,Cuckoo ray,7,7.3.9,elasmobranch,Placeholder,
rjn.27.9a,rjn-pore,Cuckoo ray (Leucoraja naevus) in Division 9.a (Atlantic Iberian waters),,Cuckoo ray,7,7.3.10,elasmobranch,Placeholder,
rju.27.8ab,rju-8ab,Undulate ray (Raja undulata) in divisions 8.a?b (northern and central Bay of Biscay),,Undulate ray,7,7.3.20,elasmobranch,Placeholder,
rju.27.8c,rju-8c,Undulate ray (Raja undulata) in Division 8.c (Cantabrian Sea),,Undulate ray,7,7.3.18,elasmobranch,Placeholder,
rju.27.9a,rju-9a,Undulate ray (Raja undulata) in Division 9.a (Atlantic Iberian waters),,Undulate ray,7,7.3.19,elasmobranch,Placeholder,
rng.27.5b6712b,rng-5b67,"Roundnose grenadier (Coryphaenoides rupestris) in subareas 6-7, and in Divisions 5.b and 12.b (Celtic Seas and the English Channel, Faroes grounds, and western Hatton Bank)",,Roundnose grenadier,6,6.3.14,grenadier roundnose,Placeholder,
gug.27.3a47d,gug-347d,"Grey gurnard (Eutrigla gurnardus) in Subarea 4 and divisions 7.d and 3.a (North Sea, eastern English Channel, Skagerrak and Kattegat)",,Grey gurnard,6,6.3.15,gurnard grey,Placeholder,
had.27.46a20,had-346a,"Haddock (Melanogrammus aeglefinus) in Subarea 4, Division 6.a and Subdivision 20  (North Sea, West of Scotland, Skagerrak) ",,Haddock,6,6.3.16,haddock,Placeholder,
her.27.20-24,her-3a22,"Herring (Clupea harengus) in subdivisions 20?24, spring spawners (Skagerrak, Kattegat, and western Baltic)",x,Herring,6,6.3.17,herring,,
her.27.3a47d,her-47d3,"Herring (Clupea harengus) in Subarea 4 and divisions 3.a and 7.d, autumn spawners (North Sea, Skagerrak and Kattegat, eastern English Channel)",x,Herring,6,6.3.18,herring,,
hom.27.3a4bc7d,hom-nsea,"Horse mackerel (Trachurus trachurus) in divisions 3.a, 4.b?c, and 7.d (Skagerrak and Kattegat, southern and central North Sea, eastern English Channel)",x,Horse mackerel,6,6.3.19,horse mackerel,,
lem.27.3a47d,lem-nsea,"Lemon sole (Microstomus kitt) in Subarea 4 and divisions 3.a and 7.d (North Sea, Skagerrak and Kattegat, eastern English Channel)",x,Lemon sole,6,6.3.20,lemon sole,,
pra.27.4a,pan-flad,"Northern shrimp (Pandalus borealis) in Division 4.a (northern North Sea, Fladen Ground)",,Northern shrimp,6,6.3.21,Northern shrimp,Placeholder,
pra.27.4a20,pan-sknd,Northern shrimp (Pandalus borealis) in Division 4.a East and Subdivision 20 (northern North Sea in the Norwegian Deep and Skagerrak),x,Northern shrimp,6,6.3.22,Northern shrimp,,
nep.fu.10,nep-10,"Norway lobster (Nephrops norvegicus) in Division 4.a, Functional Unit 10 (northern North Sea, Noup)",,Norway lobster,6,6.3.25,Norway lobster,Placeholder,
had.27.7a,had-iris,Haddock (Melanogrammus aeglefinus) in Division7.a (Irish Sea),x,Haddock,5,5.3.29,haddock,,
had.27.6b,had-rock,Haddock (Melanogrammus aeglefinus) in Division 6.b (Rockall),x,Haddock,5,5.3.28,haddock,,
,nop-34,,,,,,,,
,nop-34-june,,,,,,,,
nep.fu.32,nep-32,"Norway lobster (Nephrops norvegicus) in Division 4.a, Functional Unit 32 (northern North Sea, Norway Deep)",,Norway lobster,6,6.3.26,Norway lobster,Placeholder,
her.27.6a7bc,her-67bc,"Herring (Clupea harengus) in divisions 6.a and 7.b?c (West of Scotland, West of Ireland)",x,Herring,5,5.3.33,herring,,
rng.27.3a,rng-kask,Roundnose grenadier (Coryphaenoides rupestris) in Division 3.a (Skagerrak and Kattegat),,Roundnose grenadier,9,9.3.28,grenadier roundnose,Placeholder,
,oth-comb,,,,,,,,
pra.27.1-2,pan-barn,Northern shrimp (Pandalus borealis) in subareas 1 and 2 (Northeast Arctic),x,Northern shrimp,3,3.3.7,Northern shrimp,,
nep.fu.33,nep-33,"Norway lobster (Nephrops norvegicus) in Division 4.b, Functional Unit 33 (central North Sea, Horn?s Reef)",,Norway lobster,6,6.3.30,Norway lobster,Placeholder,
nep.fu.34,nep-34,"Norway lobster (Nephrops norvegicus) in Division 4.b, Functional Unit 34 (central North Sea, Devil?s Hole)",,Norway lobster,6,6.3.31,Norway lobster,Placeholder,
her.27.31,her-31,Herring (Clupea harengus) in Subdivision 31 (Bothnian Bay),x,Herring,8,8.3.13,herring,,
,ple-2232,,,,,,,,
her.27.28,her-riga,Herring (Clupea harengus) in Subdivision 28.1 (Gulf of Riga),x,Herring,8,8.3.11,herring,,
her.27.irls,her-irls,"Herring (Clupea harengus) in divisions 7.a South of 52ø30?N, 7.g?h, and 7.j?k (Irish Sea, Celtic Sea, and southwest of Ireland)",x,Herring,5,5.3.32,herring,,
her.27.nirs,her-nirs,Herring (Clupea harengus) in Division 7.a North of 52ø30?N (Irish Sea),x,Herring,5,5.3.31,herring,,
sho.27.89a,sho-89a,Black-mouth dogfish (Galeus melastomus) in Subarea 8 and Division 9.a (Bay of Biscay and Atlantic Iberian waters),x,Black-mouth dogfish,7,7.3.6,elasmobranch,,add elasmobranch superheader above
lez.27.4a6a,meg-4a6a,"Megrim (Lepidorhombus ssp.) in divisions 4.a and 6.a (northern North Sea, West of Scotland)",x,Megrim,5,5.3.35,megrim four spot and wifi,,
nep.fu.3-4,nep-3-4,"Norway lobster (Nephrops norvegicus) in Division 3.a, Functional units 3 and 4 (Skagerrak and Kattegat)",x,Norway lobster,6,6.3.23,Norway lobster,,
lez.27.6b,meg-rock,Megrim (Lepidorhombus ssp.) in Division 6.b (Rockall),,Megrim,5,5.3.34,megrim four spot and wifi,Placeholder,add megrim superheader above
meg.27.7b-k8abd,mgw-78,"Megrim (Lepidorhombus whiffiagonis) in divisions 7.b?k, 8.a?b, and 8.d (west and southwest of Ireland, Bay of Biscay)",x,Megrim,5,5.3.36,megrim wifi,,
,ple-kask,,,,,,,,
nep.fu.5,nep-5,"Norway lobster (Nephrops norvegicus) in divisions 4.b and 4.c, Functional Unit 5 (central and southern North Sea, Botney Gut?Silver Pit)",,Norway lobster,6,6.3.33,Norway lobster,Placeholder,
,ple-skag,,,,,,,,
